@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute shellData-1 numeric
@attribute shellData-2 numeric
@attribute shellData-3 numeric
@attribute shellData-4 numeric
@attribute shellData-5 numeric
@attribute shellData-6 numeric
@attribute shellData-7 numeric
@attribute shellData-8 numeric
@attribute shellData-9 numeric
@attribute shellData-10 numeric
@attribute shellData-11 numeric
@attribute shellData-12 numeric

@data
292,'2017/08/16 15:51:39:573',6,14.457949,1.233163,7.165871,7.123423,2.499046,2.58657,23.493425,7.048378,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
293,'2017/08/16 15:51:39:599',6,14.462894,1.237582,7.153707,7.11167,2.503155,2.590452,23.500448,7.052076,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
294,'2017/08/16 15:51:39:627',6,14.460519,1.240571,7.14467,7.103039,2.506478,2.593647,23.509329,7.051034,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
295,'2017/08/16 15:51:39:656',6,14.488669,1.24314,7.134074,7.093136,2.509767,2.596591,23.51136,7.054177,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
296,'2017/08/16 15:51:39:695',6,14.485575,1.250267,7.130195,7.089264,2.508595,2.59579,23.512346,7.054666,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
297,'2017/08/16 15:51:39:725',6,14.48554,1.257364,7.122154,7.082384,2.513573,2.600378,23.512934,7.05465,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
298,'2017/08/16 15:51:39:828',6,14.485407,1.26563,7.119199,7.079793,2.517083,2.603747,23.513571,7.05132,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
299,'2017/08/16 15:51:39:859',6,14.487498,1.272996,7.122403,7.084816,2.519071,2.605911,23.515854,7.046957,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
300,'2017/08/16 15:51:39:900',6,14.466672,1.272111,7.12413,7.087316,2.523221,2.610316,23.516556,7.042934,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
301,'2017/08/16 15:51:39:940',6,14.473706,1.27291,7.128267,7.092783,2.52332,2.611147,23.516615,7.040771,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
